Period,Altman Z-Score
1,11.67595522
2,19.92805369
3,40.27375617
4,17.37799526
5,25.01760845
6,13.58472002
7,10.56103433
8,25.28562224
9,54.90495144
10,20.95262256
11,32.34117903
12,35.70284284
13,18.644443
14,26.20570001
15,35.41934214
16,29.09753215
17,78.07066691
18,41.66021561
19,17.55501874
20,39.82542177
21,38.84779725
22,29.50905045
23,18.9675276
24,16.00301317
25,11.67146585
26,25.70544087
27,33.77447644
28,92.48831582
29,34.98029911
30,8.144666349
31,13.50280743
32,12.21048929
33,22.9060234
34,52.10213915
35,19.76611779
36,27.23688208
37,23.00689678
38,19.01478715
39,29.97258242
40,40.02326867
41,24.380687
42,71.94076627
43,37.55836424
44,18.5044431
45,32.65408074
46,39.74673076
47,29.55664579
48,19.71732713
49,16.41007452
50,12.96752004
51,23.74981704
52,34.23680213
53,61.72403788
54,33.81306323
55,18.98846508
56,8.913766439
57,3.553137718
58,8.886627177
59,11.84351248
60,18.13064766
61,78.99697133
62,19.47451647
63,27.86842289
64,19.30837386
65,17.94470591
66,28.43940917
67,36.02294729
68,25.88573932
69,72.36681211
70,20.19616832
71,27.16087485
72,36.62591986
73,39.48276263
74,32.54685782
75,22.24395595
76,15.95639914
77,13.19320163
78,25.54410966
79,36.15845628
80,81.10292045
81,47.34025225
82,11.30103201
83,11.16008833
84,18.05740891
85,66.76511467
86,14.74378928
87,24.21394001
88,18.58963694
89,17.24756223
90,24.9553312
91,30.51260001
92,28.38188144
93,77.89573938
94,23.05057402
95,24.05840838
96,32.4883815
97,80.19147399
98,33.03253215
99,24.54176246
100,15.69483314
101,15.17965934
102,24.87512185
103,45.6527188
104,32.59379267
105,42.73008514
106,13.45604869
107,19.44874454
108,32.2372223
109,29.9084635
110,37.0590558
111,18.90019504
112,25.15968234
113,132.672633
114,68.66905101
115,49.58898262
116,51.86917822
117,21.44454034
118,37.77422419
119,30.23192217
120,19.5554135
121,18.69038571
122,24.45439192
123,39.98006723
124,35.47888448
125,43.04759844
126,29.38594268
127,30.97943711
128,35.47729374
129,17.74953817
130,39.10466888
131,26.92418994
132,25.47605317
133,16.84930677
134,32.8544573
135,29.37549472
136,38.95478716
137,17.91563224
138,20.1314952
139,55.60893671
140,26.42717317
141,32.56951536
142,47.24163953
143,12.4682693
144,46.12022389
145,36.14074079
146,27.64569362
147,29.27873772
148,24.00858568
149,29.99358544
150,40.80483313
151,40.96754553
152,31.55858677
153,30.23574744
154,34.53279923
155,25.88871307
156,37.52622918
157,24.22224915
158,26.90707708
159,12.78960302
160,40.37538945
161,35.74703374
162,31.60903748
